ALWNC_DE,ALWNC_RESN,BSI_INT,ENG_RN,MVMN_DE,MVMN_RESN,MVM_RES_CD,NTFC_DE,OPERT_DE,RBP_CN,RDS_DPN_SE,RDS_MAN_NO,REP_CN,RN,RN_CD,ROAD_BT,ROAD_LT,ROA_CLS_SE,SIG_CD,WDR_RD_CD
20100520,디지털로에서 분기되는 도로로 해당 일련번호 활용,20,Digital-ro 52-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224646,대림동 1027-45,1,2292,대림동 1027-10,디지털로52길,4154377,4.00000000,75.00000000,4,11560,3
20100520,영등포로에서 분기되는 도로로 해당 일련번호 활용,21,Yeongdeungpo-ro 60-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224650,신길동 50-18,1,2653,영등포동 585-119,영등포로60길,4154733,6.00000000,53.00000000,4,11560,3
20100520,신길로에서 분기되는 도로로 해당 일련번호 활용,21,Singil-ro 37-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224647,신길동 254-1,1,1568,신길동 230-1,신길로37길,4154522,8.00000000,14.00000000,4,11560,3
,여의도와 대방동 지명 혼합,20,Yeouidaebang-ro,20141117,광역도로 정비,90,20100422,20141117102046,대림동 948-1,1,3350,여의도동 87-3,여의대방로,3118028,4.00000000,5700.00000000,3,11560,2
20100520,대림로에서 분기되는 도로로 해당 일련번호 활용,21,Daerim-ro 34-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224643,대림동 689-4,1,1569,대림동 676-9,대림로34길,4154167,8.00000000,90.00000000,4,11560,3
20100520,여의대방로에서 분기되는 도로로 해당 일련번호 활용,21,Yeouidaebang-ro 43-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224649,신길동 869-2,1,3352,신길동 897-3,여의대방로43길,4154663,6.00000000,123.00000000,4,11560,3
20100520,디지털로에서 분기되는 도로로 해당 일련번호 활용,21,Digital-ro 48-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224646,대림동 1078-1,1,1571,대림동 992-19,디지털로48길,4154373,4.00000000,75.00000000,4,11560,3
20100520,도신로에서 분기되는 도로로 해당 일련번호 활용,22,Dosin-ro 25-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224645,도림동 147-46,1,2595,도리동 144-185,도신로25길,4154314,3.00000000,40.00000000,4,11560,3
20100520,시흥대로에서 분기되는 도로로 해당 일련번호 활용,21,Siheung-daero 173-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224647,대림동 993-15,0,2234,대림동 993-16,시흥대로173길,4154478,6.00000000,208.00000000,4,11560,3
20100520,디지털로에서 분기되는 도로로 해당 일련번호 활용,22,Digital-ro 74-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224646,대림동 924-7,1,2235,대림동 916-1,디지털로74길,4154396,4.00000000,14.00000000,4,11560,3
20100520,도신로에서 분기되는 도로로 해당 일련번호 활용,20,Dosin-ro 64ga-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224645,신길동 113-90,1,2596,신길동 92-74,도신로64가길,4154348,6.00000000,33.00000000,4,11560,3
20100520,영등포동 중앙을 통과하는 도로,20,Yeongjung-ro,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224651,영등포동4가 425-2,1,97,영등포동8가 86,영중로,3118024,7.00000000,56.00000000,3,11560,3
20100520,국회대로에서 분기되는 도로로 해당 일련번호 활용,22,Gukhoe-daero 36-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100617,20141030224642,당산동3가 96,1,98,당산동3가 223-6,국회대로36길,4154073,6.00000000,28.00000000,4,11560,3
20100520,신길로에서 분기되는 도로로 해당 일련번호 활용,21,Singil-ro 62-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224648,영등포동 585-26,1,99,신길동 170-7,신길로62길,4154556,6.00000000,94.00000000,4,11560,3
